split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,candidate
oof,Q3,1,id08,11,0.5,1.0,0.5448275862068965,0.7028301886792453,0.5648593425558492,0.6905974285317956,targetwise_lastbest
oof,Q3,1,id09,8,0.5,1.0,0.5448275862068965,0.7028301886792453,0.4362304277489906,0.46748615162586915,targetwise_lastbest
oof,Q3,1,id10,7,0.5,1.0,0.5448275862068965,0.7028301886792453,0.7059552412618074,0.7909001477345743,targetwise_lastbest
oof,Q3,2,id01,8,0.5,1.0,0.5510204081632653,0.704225352112676,0.5876916239518338,0.7169566565025964,targetwise_lastbest
oof,Q3,2,id02,9,0.5,1.0,0.5510204081632653,0.704225352112676,0.5846436192020201,0.5768919397169524,targetwise_lastbest
oof,Q3,2,id03,6,0.5,1.0,0.5510204081632653,0.704225352112676,0.7299493194094042,0.8102127506757166,targetwise_lastbest
oof,Q3,2,id04,12,0.5,1.0,0.5510204081632653,0.704225352112676,0.7300650733064565,0.790544686427023,targetwise_lastbest
oof,Q3,2,id05,9,0.5,1.0,0.5510204081632653,0.704225352112676,0.7219093702130115,0.7916164873957837,targetwise_lastbest
oof,Q3,2,id06,9,0.5,1.0,0.5510204081632653,0.704225352112676,0.42969778359822164,0.4699025780551404,targetwise_lastbest
oof,Q3,2,id07,10,0.5,1.0,0.5510204081632653,0.704225352112676,0.42769423175892907,0.47280580314657455,targetwise_lastbest
oof,Q3,2,id08,11,0.5,1.0,0.5510204081632653,0.704225352112676,0.6725302516829154,0.7569279783023949,targetwise_lastbest
oof,Q3,2,id09,8,0.5,1.0,0.5510204081632653,0.704225352112676,0.4196342753610284,0.4525012101076654,targetwise_lastbest
oof,Q3,2,id10,6,0.5,1.0,0.5510204081632653,0.704225352112676,0.44287949997937776,0.4420287082500993,targetwise_lastbest
oof,Q3,3,id01,8,0.5,1.0,0.5578231292517006,0.7047619047619048,0.7144653979146527,0.790979202835969,targetwise_lastbest
oof,Q3,3,id02,10,0.5,1.0,0.5578231292517006,0.7047619047619048,0.7295070187217506,0.7959664805345243,targetwise_lastbest
oof,Q3,3,id03,7,0.5,1.0,0.5578231292517006,0.7047619047619048,0.5914815785718689,0.5507151544407798,targetwise_lastbest
oof,Q3,3,id04,11,0.5,1.0,0.5578231292517006,0.7047619047619048,0.7295271100141923,0.7916872503340283,targetwise_lastbest
oof,Q3,3,id05,9,0.5,1.0,0.5578231292517006,0.7047619047619048,0.5964756096633295,0.5812729814164693,targetwise_lastbest
oof,Q3,3,id06,10,0.5,1.0,0.5578231292517006,0.7047619047619048,0.7148889702006269,0.7851019617232896,targetwise_lastbest
