source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,rank_score,kept_for_target
target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,Q1,0.5909623539000937,0.617524710300158,0.0005374700284659362,-0.0009811612030548034,0.00838495252238532,0.0012243115925555654,0.512,0.488,0.000419247626119266,0.6207819257000723,False
residual_single_model_opt_ridge_logit_te_full/ridge_residual_full,Q1,0.587182961439304,0.6189710553426604,-0.003241922432323685,0.00046518383944760267,0.015065978175275562,0.003806885296954707,0.584,0.416,0.0007532989087637781,0.6242441477040068,True
residual_submission_blend_ridge_logit_te_full/ridge_knn_blend_full,Q1,0.587182961439304,0.6189710553426604,-0.003241922432323685,0.00046518383944760267,0.015065978175275562,0.003806885296954707,0.584,0.416,0.0007532989087637781,0.6242441477040068,False
target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,Q1,0.5927648009902238,0.6170738497635837,0.0023399171185960466,-0.0014320217396290857,0.01821345115733377,0.002010170580803611,0.504,0.496,0.0009106725578666886,0.6248525079398081,False
residual_single_model_opt_ridge_logit_te_full/ridge_residual_last,Q1,0.613891151600338,0.6102843032135798,0.0234662677287103,-0.008221568289632941,0.03187912750117287,0.00584174142866742,0.596,0.404,0.0015939563750586435,0.6355217584762165,True
public_aware_stack_blend_20260622/target_select_public_tight,Q2,0.6925754046877837,0.6300411342516844,-0.0003044519361388165,-0.008043235048716957,0.0026725171004301725,0.0026725171004301725,0.068,0.0,0.0009353809851505603,0.6357870460176093,True
direction_gated_ablation_20260622/core_plus_q2,Q2,0.6925754046877837,0.6300411342516844,-0.0003044519361388165,-0.008043235048716957,0.0026725171004301725,0.0026725171004301725,0.068,0.0,0.0009353809851505603,0.6357870460176093,False
direction_gated_ablation_20260622/core_plus_q2q3,Q2,0.6925754046877837,0.6300411342516844,-0.0003044519361388165,-0.008043235048716957,0.0026725171004301725,0.0026725171004301725,0.068,0.0,0.0009353809851505603,0.6357870460176093,False
direction_gated_ablation_20260622/core_plus_s1_q2q3,Q2,0.6925754046877837,0.6300411342516844,-0.0003044519361388165,-0.008043235048716957,0.0026725171004301725,0.0026725171004301725,0.068,0.0,0.0009353809851505603,0.6357870460176093,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p9,Q2,0.6925170204279667,0.630798895104412,-0.00036283619595578465,-0.00728547419598935,0.002408876510042714,0.0024088765100426955,0.068,0.0,0.0008431067785149518,0.6359779796010039,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p8,Q2,0.6924780655761141,0.6315669366868274,-0.00040179104780835306,-0.006517432613573959,0.0021443375578397315,0.0021443375578397137,0.068,0.0,0.0007505181452439078,0.6361772624361828,False
direction_gated_ablation_20260622/core_plus_q2tiny,Q2,0.6932162308973642,0.6350124356865975,0.00033637427344168636,-0.0030719336138038678,0.0005529926347772891,0.0005529926347772891,0.008,0.0,0.00019354742217205116,0.6364031944154337,True
direction_gated_ablation_20260622/core_plus_s1_q2tiny_q3,Q2,0.6932162308973642,0.6350124356865975,0.00033637427344168636,-0.0030719336138038678,0.0005529926347772891,0.0005529926347772891,0.008,0.0,0.00019354742217205116,0.6364031944154337,False
public_aware_stack_blend_20260622/target_select_public_tight_logit_anchorblend_w0p65,Q2,0.6924563491869533,0.6327383371152444,-0.0004235074369691727,-0.005346032185156946,0.0017459212818159119,0.001745921281815894,0.068,0.0,0.0006110724486355708,0.6364920678711485,True
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top100_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,True
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top160_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_mid_target_auto_top60_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_smooth_subject_class_top100_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_smooth_subject_class_top160_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_smooth_subject_class_top240_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_smooth_subject_class_top60_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
target_weighted_single_model_lgbm_20260622/raw_S1_lgbm_smooth_target_auto_top160_hist1_bankbins_te_sh0.05_logit,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
direction_gated_ablation_20260622/core_plus_q3,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
direction_gated_ablation_20260622/core_plus_s1,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
direction_gated_ablation_20260622/core_q1down_s2mid_s4tight,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
direction_gated_ablation_20260622/core_q1down_s2tight_s4mid,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
direction_gated_ablation_20260622/core_q1down_s2tight_s4tight,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
direction_gated_ablation_20260622/core_q1down_s2wide_s4tight,Q2,0.6928798566239225,0.6380843693004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380843693004014,False
